entry_idx,entry_time,side,entry_price,total_pts,leg1_pts,leg2_pts,leg1_exit,leg2_exit,tp2_hit,bars,sm_1m,sm_1m_abs,hour_et,dow,prior_day_atr,bars_to_tp1,5min_sm,5min_sm_dir,5min_sm_slope,5min_rsi,5min_atr,5min_ema20,5min_close,5min_high,5min_low,15min_sm,15min_sm_dir,15min_sm_slope,15min_rsi,15min_atr,15min_ema20,15min_close,15min_high,15min_low,30min_sm,30min_sm_dir,30min_sm_slope,30min_rsi,30min_atr,30min_ema20,30min_close,30min_high,30min_low,1h_sm,1h_sm_dir,1h_sm_slope,1h_rsi,1h_atr,1h_ema20,1h_close,1h_high,1h_low,4h_sm,4h_sm_dir,4h_sm_slope,4h_rsi,4h_atr,4h_ema20,4h_close,4h_high,4h_low,session_above_vwap,session_or_high,session_or_low,session_above_or,session_below_or,session_ib_high,session_ib_low,vol_regime,5min_sm_aligned,15min_sm_aligned,30min_sm_aligned,1h_sm_aligned,4h_sm_aligned,5min_close_vs_ema,15min_close_vs_ema,30min_close_vs_ema,1h_close_vs_ema,4h_close_vs_ema,5min_rsi_ob,5min_rsi_os,15min_rsi_ob,15min_rsi_os,30min_rsi_ob,30min_rsi_os,1h_rsi_ob,1h_rsi_os,4h_rsi_ob,4h_rsi_os,dist_or_high,dist_or_low,dist_ib_high,dist_ib_low
10320,2025-02-26 15:00:00,long,21300.75,10.25,12.5,-2.25,TP1,BE,0.0,6,0.03835192283750988,0.03835192283750988,10,2,,4.0,0.19208741967073292,1.0,0.012965120311268258,61.67552694159056,34.185451882738576,21270.95638614468,21307.0,21310.0,21260.25,0.493450760989251,1.0,0.017499692372839326,25.569351663715935,31.087683349443864,21283.242738714947,21233.5,21274.25,21188.5,-0.25807773248086674,-1.0,0.05600336488930929,34.83149096697865,41.182278074087705,21282.072947462555,21238.5,21287.5,21224.0,-0.08947528068710284,-1.0,-0.0226632708707446,48.03069608456549,61.76686587486029,21283.751779507154,21273.0,21332.5,21255.25,0.31372499290821626,1.0,-0.05367322786733292,37.483995002955055,142.5636090741127,21501.818489582212,21288.0,21329.75,21263.25,True,,,False,False,,,,1.0,1.0,0.0,0.0,1.0,0.1694498977901971,-0.2337178564639663,-0.2047401471187523,-0.050516373328064586,-0.994420493716887,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
10372,2025-02-26 15:52:00,long,21333.5,41.75,12.0,29.75,TP1,TP2,1.0,9,0.01411292335186648,0.01411292335186648,10,2,,2.0,0.4321536587702186,1.0,0.022636015627357065,60.994020250473284,41.81189843045654,21305.178289026222,21340.25,21350.75,21318.0,0.6608117551318441,1.0,0.01705964258187942,60.61964561736505,45.21398828986533,21292.870807184612,21334.75,21352.25,21281.75,-0.1724998991868636,-1.0,0.0313956319941508,48.99452214119518,51.784719359800114,21283.72524724259,21282.75,21372.0,21259.75,-0.12038890961880894,-1.0,-0.0309136289317061,56.452044676922426,66.24780402665598,21285.34684812552,21300.5,21313.0,21188.5,0.31372499290821626,1.0,-0.05367322786733292,37.483995002955055,142.5636090741127,21501.818489582212,21288.0,21329.75,21263.25,True,21372.0,21259.75,False,False,,,,1.0,1.0,0.0,0.0,1.0,0.16461589993754022,0.1966817588601391,-0.00458212663084522,0.07119053301128547,-0.994420493716887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.5,73.75,,
10421,2025-02-26 16:41:00,long,21393.75,7.5,8.75,-1.25,TP1,BE,0.0,15,0.09359084035185122,0.09359084035185122,11,2,,13.0,0.2694189803380646,1.0,-0.03367340695510651,67.96141903956831,35.674822942113956,21349.072714305323,21396.25,21402.75,21366.5,0.6521496487000185,1.0,-0.04752021329138889,61.3409630320948,45.10837546386084,21313.156448167505,21365.0,21397.25,21359.25,-0.02629907417557259,-1.0,0.06818457172845183,65.23808880298607,53.29396720309296,21297.284159307426,21365.0,21404.0,21351.25,-0.15757032367064686,-1.0,-0.03718141405183792,67.54432222249395,69.53367516760913,21291.62333878023,21351.25,21372.0,21259.75,0.29870781898857063,1.0,-0.015017173919645632,44.1949081311607,145.48763699739035,21487.478633431525,21351.25,21372.0,21188.5,True,21372.0,21259.75,True,False,21372.0,21259.75,,1.0,1.0,0.0,0.0,1.0,0.22098049093750705,0.24324670988352115,0.3179552856882939,0.28004751103766545,-0.6339907801912699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.75,134.0,21.75,134.0
11736,2025-02-27 15:36:00,short,21054.5,-102.0,-51.0,-51.0,SL,SL,0.0,3,-0.5630014408787161,0.5630014408787161,10,3,,,0.2916525647163476,1.0,-0.09576546806221808,36.610251834916376,63.906932385134446,21164.652929960914,21067.5,21135.0,21039.5,0.4921867114420063,1.0,0.3034908801275471,35.577024626753385,74.61899227846912,21255.360644079694,21127.0,21167.25,21053.75,0.16682367876474236,1.0,0.2080880747626086,35.74166946248319,88.47921402288179,21262.3785273197,21127.0,21167.25,20896.5,-0.11180326190841039,-1.0,0.006237165579395826,22.590242680910507,98.0760740452857,21249.50586169783,21008.0,21381.0,20996.0,0.3885338359477584,1.0,-0.006772233845781461,51.54013430628304,159.37169074580538,21386.342900741478,21345.0,21348.5,21250.0,False,21167.25,20896.5,False,False,,,,0.0,0.0,0.0,1.0,0.0,-0.45903389147186535,-0.6038977471570048,-0.6367045302375428,-1.1365246009468148,-0.19331449483139332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-112.75,158.0,,
13136,2025-02-28 15:56:00,long,20745.5,41.75,16.75,25.0,TP1,TP2,1.0,6,0.2566629218608092,0.2566629218608092,10,4,,3.0,-0.11886457656752841,-1.0,-0.08085318584702395,63.61354485963098,59.06719847822607,20666.70784910788,20733.5,20757.25,20692.5,-0.24233712315339317,-1.0,-0.05587148560839836,59.682290585795506,67.85537672823192,20644.429119230525,20699.75,20777.75,20674.5,-0.10013440901997545,-1.0,0.01571800958363434,73.8429419424134,74.95318397973594,20647.3053277748,20756.25,20759.0,20553.75,0.021394100546687694,1.0,-0.01812175752025505,30.445786237673786,94.58067593228635,20709.72013813576,20594.25,20644.75,20460.25,0.25810091719453343,1.0,-0.04077388740500826,29.524431869193208,182.7641388177267,21080.814473893235,20661.75,20683.75,20612.0,True,20759.0,20553.75,False,False,,,,0.0,0.0,0.0,1.0,1.0,0.3231871828826577,0.26797001965989675,0.5276459591007597,-0.557564937457206,-1.9878950806773155,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-13.5,191.75,,
14546,2025-03-03 16:26:00,long,20928.25,-1.0,8.75,-9.75,TP1,BE,0.0,2,0.3554929938371607,0.3554929938371607,11,0,,1.0,0.5844850005797504,1.0,0.059881171849601955,61.26731944275007,60.59550855562832,20933.13422568405,20977.5,20985.0,20927.25,-0.062145949161820535,-1.0,0.0380821405324169,43.15916604621309,74.86722273548025,20974.201674467822,20913.0,20927.0,20858.5,0.11874604372070319,1.0,0.001526105620900553,34.39533673967169,84.07513467557953,20973.626843600614,20858.25,20989.25,20847.75,-0.23378145890955931,-1.0,0.0648543970657523,38.10305339981517,112.44629766438904,20923.897384976677,20858.25,20989.25,20759.75,0.060260338771564836,1.0,0.02517767223515971,44.67001158467791,197.70969170625716,20984.237718538734,20858.25,21120.75,20759.75,False,20961.0,20759.75,False,False,20989.25,20759.75,,1.0,0.0,1.0,0.0,1.0,0.21194042821124393,-0.29179501283390336,-0.550104397589286,-0.31374358117341866,-0.6003921621009323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32.75,168.5,-61.0,168.5
15840,2025-03-04 15:00:00,short,20230.75,13.0,23.5,-10.5,TP1,BE,0.0,2,-0.20633755766228673,0.20633755766228673,10,1,,1.0,0.08861147895533217,1.0,0.06104508991118679,39.04611960558002,59.37294041645468,20340.645002208053,20304.0,20340.5,20269.0,0.1264248829696476,1.0,-0.015071163427284984,41.45356733079574,63.787656908993426,20388.779003873093,20331.0,20430.0,20258.5,-0.23227407112230886,-1.0,0.013292372501365196,35.847650575684014,71.69992630549021,20442.516665447856,20343.0,20398.5,20320.5,0.033774908449000995,1.0,-0.013344502494105903,22.78522460793316,103.39469591990192,20541.53461624488,20325.0,20356.5,20261.5,0.16344366291573748,1.0,-0.0008686769093562696,29.304217520071717,196.8271735971086,20801.049043751864,20475.25,20566.75,20438.25,False,,,False,False,,,,0.0,0.0,1.0,0.0,0.0,-0.18015653979544666,-0.28338628743838423,-0.48681220163102645,-1.0541306688626768,-1.5662625623669015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,
15911,2025-03-04 16:11:00,short,20125.75,-119.5,-59.75,-59.75,SL,SL,0.0,2,-0.5236122536541133,0.5236122536541133,11,1,,,0.13556819064392417,1.0,-0.036500517538118504,33.36598447198111,73.51443045330062,20217.60601526886,20123.75,20186.5,20110.5,-0.1314798440762128,-1.0,-0.02488743965302237,34.84930561045566,82.23301069998901,20316.41259917695,20196.5,20263.5,20157.0,-0.16280387894688486,-1.0,0.02607523894136357,28.143469906613134,91.10312977156048,20378.18791796856,20196.5,20263.5,20133.75,0.05251046469355197,1.0,0.01613331805020024,16.13120968046705,115.97680413501747,20481.916091756015,20196.5,20263.5,20075.75,0.1790202402637281,1.0,0.015576577347990617,20.199958405903473,211.303804054458,20743.472944346926,20196.5,20474.75,20075.75,False,20256.25,20075.75,False,False,20263.5,20075.75,,0.0,1.0,1.0,0.0,0.0,-0.4642291238536168,-0.5902252604468589,-0.8915803441401974,-1.3935028855571523,-2.63684362697804,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,-130.5,50.0,-137.75,50.0
15946,2025-03-04 16:46:00,long,20257.5,59.0,29.5,29.5,TP1,TP2,1.0,4,0.13772087601787963,0.13772087601787963,11,1,,4.0,-0.40609131611603677,-1.0,-0.06671772250482055,61.86869573417241,71.7230134342584,20202.560866968077,20251.75,20263.5,20180.0,-0.14174995049699446,-1.0,-0.01356759388067072,48.71625737596004,89.75015470403638,20286.582714367207,20251.75,20263.5,20139.25,-0.15161574150350726,-1.0,0.0111881374433776,24.219733234068187,93.29219193073472,20355.7414495906,20142.5,20230.5,20108.75,0.05251046469355197,1.0,0.01613331805020024,16.13120968046705,115.97680413501747,20481.916091756015,20196.5,20263.5,20075.75,0.1790202402637281,1.0,0.015576577347990617,20.199958405903473,211.303804054458,20743.472944346926,20196.5,20474.75,20075.75,False,20256.25,20075.75,True,False,20263.5,20075.75,,0.0,0.0,0.0,1.0,1.0,0.24347969228173022,-0.17170321319094237,-1.0475739737541723,-1.3935028855571523,-2.63684362697804,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.25,181.75,-6.0,181.75
17246,2025-03-05 15:26:00,short,20347.25,38.0,11.25,26.75,TP1,TP2,1.0,2,-0.40309331730044706,0.40309331730044706,10,2,396.17857142857144,1.0,-0.08761740764488024,-1.0,-0.04278298977323894,38.82909570442478,68.64186067443453,20406.90360257927,20340.25,20395.25,20299.5,0.19969614872560765,1.0,-0.09325127939379979,47.759185373491526,73.54852713981288,20463.50391535909,20435.25,20496.75,20318.75,-0.22983172640556238,-1.0,0.03643109303971126,16.771917411915936,81.23698490983627,20484.075747299677,20314.75,20455.75,20270.25,0.3300631925412039,1.0,-0.009720876574064119,26.936397283116293,113.38882612292397,20490.57904796259,20314.75,20465.5,20270.25,0.31442537559657546,1.0,-0.0012556079285757082,41.89679471044837,224.50626007539992,20667.3731318164,20492.5,20631.25,20442.0,False,,,False,False,,,,1.0,0.0,1.0,0.0,0.0,-0.3266228129330005,-0.13806978255510394,-0.8266213686599889,-0.8580970188837744,-0.8461313912564464,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,
